flex_1,flex_2,flex_3,flex_4,flex_5,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz
4,16,51,-1,-1,0.01,0.02,0.01,-1.16,0.15,9.95
4,16,51,-1,-1,0.01,0.02,0.02,-1.16,0.13,9.91
4,16,51,-1,-1,0.00,0.02,0.01,-1.18,0.10,9.95
4,16,50,-1,-1,0.01,0.03,0.02,-1.18,0.14,9.93
4,16,51,-1,-1,0.01,0.02,0.01,-1.16,0.10,10.00
4,16,50,-1,-1,-0.00,0.01,0.01,-1.20,0.09,9.96
4,16,51,-1,-1,0.00,0.03,0.02,-1.23,0.12,9.94
4,16,50,-1,-1,0.00,0.02,0.02,-1.17,0.13,9.93
4,16,50,-1,-1,0.00,0.03,0.01,-1.19,0.14,10.04
4,16,50,-1,-1,0.01,0.03,0.01,-1.16,0.15,10.03
4,16,50,-1,-1,0.01,0.02,0.01,-1.16,0.14,9.97
4,16,50,-1,-1,0.01,0.03,0.01,-1.20,0.15,9.98
4,16,50,-1,-1,0.00,0.02,0.01,-1.15,0.14,9.90
4,16,49,-1,-1,0.01,0.02,0.02,-1.19,0.15,10.00
4,16,49,-1,-1,0.01,0.02,0.01,-1.18,0.11,9.93
4,16,49,-1,-1,0.00,0.02,0.01,-1.19,0.13,9.99
4,16,50,-1,-1,0.00,0.02,0.02,-1.16,0.13,9.93
4,16,50,-1,-1,0.01,0.02,0.01,-1.16,0.12,9.97
4,16,50,-1,-1,0.00,0.02,0.02,-1.16,0.11,9.97
4,16,50,-1,-1,0.01,0.02,0.02,-1.17,0.15,9.91
4,16,50,-1,-1,0.00,0.02,0.01,-1.19,0.10,9.94
4,16,51,-1,-1,0.00,0.02,0.01,-1.17,0.09,10.03
4,16,51,-1,-1,0.00,0.02,0.01,-1.17,0.09,10.04
3,16,51,-1,-1,0.01,0.02,0.01,-1.12,0.13,9.91
4,16,51,-1,-1,0.01,0.02,0.01,-1.15,0.13,9.98
4,16,52,-1,-1,0.01,0.03,0.01,-1.19,0.16,9.92
3,16,51,-1,-1,0.01,0.02,0.02,-1.15,0.14,9.91
4,16,51,-1,-1,0.01,0.02,0.01,-1.16,0.10,9.94
4,16,51,-1,-1,0.00,0.02,0.01,-1.17,0.13,9.93
4,16,51,-1,-1,0.01,0.03,0.01,-1.14,0.13,9.93
3,16,51,-1,-1,0.01,0.02,0.01,-1.17,0.11,9.95
3,16,50,-1,-1,0.01,0.02,0.01,-1.13,0.12,9.98
3,16,51,-1,-1,0.00,0.03,0.02,-1.19,0.16,9.95
3,16,51,-1,-1,0.01,0.02,0.01,-1.16,0.12,9.93
3,16,50,-1,-1,0.01,0.02,0.01,-1.18,0.09,9.98
3,16,49,-1,-1,0.01,0.02,0.02,-1.15,0.12,9.96
3,16,49,-1,-1,0.00,0.02,0.01,-1.20,0.13,9.97
3,16,49,-1,-1,0.00,0.02,0.01,-1.15,0.10,9.91
3,16,49,-1,-1,0.01,0.02,0.01,-1.17,0.11,9.99
3,16,49,-1,-1,0.00,0.03,0.02,-1.14,0.16,9.99
3,16,48,-1,-1,0.01,0.02,0.01,-1.14,0.13,9.95
3,16,48,-1,-1,0.00,0.02,0.01,-1.17,0.15,9.98
3,16,48,-1,-1,0.01,0.02,0.01,-1.17,0.13,9.90
3,16,48,-1,-1,0.00,0.02,0.01,-1.16,0.12,10.00
3,16,48,-1,-1,0.01,0.03,0.01,-1.18,0.10,9.95
3,16,49,-1,-1,0.00,0.03,0.02,-1.18,0.18,9.97
3,16,49,-1,-1,0.00,0.03,0.02,-1.19,0.16,9.98
3,16,50,-1,-1,0.00,0.02,0.01,-1.16,0.16,10.04
3,16,49,-1,-1,0.00,0.02,0.02,-1.15,0.13,9.99
3,16,50,-1,-1,0.00,0.03,0.02,-1.15,0.12,9.96
3,16,49,-1,-1,0.01,0.02,0.02,-1.18,0.13,9.97
3,16,49,-1,-1,0.01,0.02,0.01,-1.17,0.07,9.97
3,16,49,-1,-1,0.00,0.03,0.02,-1.16,0.10,10.06
3,16,50,-1,-1,-0.00,0.02,0.01,-1.15,0.12,9.99
4,16,50,-1,-1,0.01,0.02,0.02,-1.17,0.09,9.94
3,16,50,-1,-1,0.01,0.03,0.02,-1.17,0.11,9.94
4,16,50,-1,-1,0.01,0.02,0.01,-1.15,0.17,9.96
4,16,50,-1,-1,0.01,0.02,0.01,-1.15,0.12,9.94
3,16,50,-1,-1,0.00,0.02,0.01,-1.20,0.11,9.92
3,16,49,-1,-1,0.01,0.03,0.02,-1.14,0.11,9.93
3,16,50,-1,-1,0.01,0.02,0.02,-1.14,0.06,9.91
4,16,50,-1,-1,0.00,0.02,0.02,-1.20,0.12,10.01
4,16,50,-1,-1,0.01,0.03,0.02,-1.19,0.12,9.94
4,16,49,-1,-1,0.01,0.03,0.02,-1.16,0.10,9.97
4,16,49,-1,-1,0.01,0.02,0.01,-1.18,0.11,9.94
4,16,50,-1,-1,0.00,0.02,0.02,-1.19,0.10,9.88
4,16,50,-1,-1,0.01,0.02,0.02,-1.14,0.18,10.00
4,16,50,-1,-1,0.01,0.03,0.02,-1.17,0.11,10.01
4,16,49,-1,-1,0.01,0.02,0.01,-1.16,0.13,9.91
4,16,49,-1,-1,0.01,0.02,0.01,-1.16,0.12,9.95
4,16,50,-1,-1,0.01,0.02,0.01,-1.16,0.13,9.98
4,16,50,-1,-1,0.01,0.03,0.01,-1.17,0.15,9.97
4,16,50,-1,-1,0.01,0.02,0.02,-1.15,0.10,9.91
4,16,50,-1,-1,0.01,0.02,0.01,-1.16,0.16,9.91
4,16,50,-1,-1,0.01,0.03,0.01,-1.15,0.11,9.93
4,16,50,-1,-1,0.00,0.02,0.02,-1.15,0.11,10.00
4,15,50,-1,-1,0.00,0.02,0.02,-1.14,0.10,9.97
4,15,50,-1,-1,0.00,0.02,0.02,-1.21,0.13,9.94
4,16,51,-1,-1,0.01,0.02,0.01,-1.17,0.14,9.88
4,16,51,-1,-1,0.00,0.02,0.02,-1.14,0.14,9.99
4,16,49,-1,-1,0.01,0.02,0.01,-1.19,0.16,9.94
4,16,49,-1,-1,0.01,0.03,0.01,-1.14,0.15,9.91
4,16,49,-1,-1,0.01,0.03,0.02,-1.17,0.15,9.91
4,16,49,-1,-1,0.00,0.03,0.01,-1.19,0.12,9.96
4,16,50,-1,-1,0.00,0.02,0.01,-1.16,0.10,9.90
4,16,50,-1,-1,0.01,0.02,0.02,-1.14,0.08,9.93
4,16,50,-1,-1,0.00,0.03,0.02,-1.16,0.16,9.93
4,16,50,-1,-1,0.00,0.03,0.01,-1.15,0.14,9.89
4,16,50,-1,-1,-0.01,0.02,0.01,-1.15,0.07,10.05
4,16,49,-1,-1,0.00,0.03,0.01,-1.14,0.15,9.90
3,16,50,-1,-1,0.01,0.03,0.02,-1.17,0.10,9.93
3,16,49,-1,-1,0.01,0.02,0.02,-1.16,0.15,10.02
3,16,49,-1,-1,0.01,0.02,0.01,-1.17,0.13,9.94
3,16,48,-1,-1,0.00,0.02,0.01,-1.18,0.15,9.96
3,16,49,-1,-1,0.00,0.02,0.02,-1.19,0.15,9.99
3,16,50,-1,-1,0.01,0.02,0.01,-1.18,0.13,9.96
3,16,50,-1,-1,0.01,0.02,0.02,-1.15,0.12,9.99
3,16,49,-1,-1,0.01,0.02,0.01,-1.15,0.06,9.92
4,16,50,-1,-1,0.01,0.02,0.02,-1.16,0.13,9.94
4,16,50,-1,-1,0.01,0.02,0.01,-1.17,0.11,10.00
4,16,50,-1,-1,0.01,0.03,0.01,-1.17,0.10,9.93
4,16,49,-1,-1,0.00,0.02,0.02,-1.19,0.11,9.94
4,16,50,-1,-1,0.00,0.02,0.02,-1.14,0.19,9.99
4,16,50,-1,-1,0.01,0.02,0.02,-1.13,0.15,9.99
4,16,50,-1,-1,0.01,0.02,0.01,-1.14,0.18,9.95
4,16,50,-1,-1,0.00,0.03,0.01,-1.13,0.12,10.01
4,16,48,-1,-1,0.01,0.02,0.01,-1.18,0.15,9.93
4,16,48,-1,-1,0.00,0.02,0.02,-1.15,0.11,9.98
4,16,48,-1,-1,0.00,0.02,0.01,-1.16,0.12,9.92
4,16,48,-1,-1,0.00,0.02,0.01,-1.18,0.11,10.00
4,16,47,-1,-1,0.00,0.03,0.01,-1.13,0.11,9.92
4,16,48,-1,-1,0.00,0.02,0.01,-1.17,0.16,9.98
4,16,47,-1,-1,0.00,0.02,0.01,-1.20,0.10,9.97
4,16,47,-1,-1,0.00,0.02,0.02,-1.19,0.13,9.93
4,16,48,-1,-1,0.01,0.02,0.01,-1.14,0.11,9.87
4,16,48,-1,-1,0.00,0.02,0.01,-1.17,0.11,9.97
4,16,48,-1,-1,0.00,0.02,0.01,-1.15,0.16,9.97
4,16,48,-1,-1,0.00,0.02,0.01,-1.15,0.13,9.96
3,16,48,-1,-1,0.01,0.02,0.01,-1.14,0.11,10.00
3,16,48,-1,-1,0.01,0.03,0.01,-1.12,0.10,9.91
